id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
0,NoRedInk,NoRedInk/noredink-ui,12.10.0,0.19.0,BSD-3-Clause,17,23
1,jxxcarlson,jxxcarlson/elm-widget,3.3.0,0.19.0,MIT,7,12
2,FMFI-UK-1-AIN-412,FMFI-UK-1-AIN-412/elm-formula,4.0.0,0.19.0,MIT,2,3
3,newmana,newmana/chroma-elm,18.0.3,0.19.0,Apache-2.0,4,7
4,ianmackenzie,ianmackenzie/elm-geometry,3.9.0,0.19.0,MPL-2.0,8,10
5,agustinrhcp,agustinrhcp/elm-datepicker,1.0.1,0.19.0,BSD-3-Clause,6,10
6,shamansir,shamansir/tron-gui,3.0.0,0.19.0,BSD-3-Clause,9,13
7,brainrape,brainrape/elm-mathml,1.0.1,0.19.1,MIT,2,4
8,brainrape,brainrape/elm-mathml,1.0.0,0.19.1,MIT,2,4
9,davidpomerenke,davidpomerenke/elm-problem-solving,1.0.1,0.19.1,MIT,13,32
10,shamansir,shamansir/tron-gui,2.0.0,0.19.0,BSD-3-Clause,9,13
11,calions-app,calions-app/jsonapi-http,1.3.1,0.19.0,MIT,7,16
12,tricycle,tricycle/elm-email,1.0.4,0.19.0,BSD-3-Clause,2,3
13,tricycle,tricycle/elm-email,1.0.3,0.19.0,BSD-3-Clause,2,3
14,TSFoster,TSFoster/elm-uuid,4.1.0,0.19.0,BSD-3-Clause,7,12
15,nathanjohnson320,nathanjohnson320/base58,2.0.2,0.19.0,MIT,2,7
16,Heimdell,Heimdell/elm-optics,3.0.1,0.19.1,BSD-3-Clause,4,9
17,Heimdell,Heimdell/elm-optics,3.0.0,0.19.1,BSD-3-Clause,4,9
18,davidpomerenke,davidpomerenke/elm-problem-solving,1.0.0,0.19.1,MIT,13,32
19,icidasset,icidasset/elm-material-icons,5.0.0,0.19.0,BSD-3-Clause,3,7
20,rakutentech,rakutentech/r10,1.1.1,0.19.0,BSD-3-Clause,16,26
21,wsowens,wsowens/term,2.0.6,0.19.0,Apache-2.0,8,9
22,rakutentech,rakutentech/r10,1.1.0,0.19.0,BSD-3-Clause,16,26
23,wsowens,wsowens/term,2.0.5,0.19.0,Apache-2.0,8,9
24,Heimdell,Heimdell/elm-optics,2.1.0,0.19.1,BSD-3-Clause,4,9
25,Heimdell,Heimdell/elm-optics,2.0.1,0.19.1,BSD-3-Clause,4,9
26,Heimdell,Heimdell/elm-optics,2.0.0,0.19.1,BSD-3-Clause,4,9
27,rakutentech,rakutentech/r10,1.0.1,0.19.0,BSD-3-Clause,16,26
28,rakutentech,rakutentech/r10,1.0.0,0.19.0,BSD-3-Clause,16,26
29,Heimdell,Heimdell/elm-optics,1.0.0,0.19.1,BSD-3-Clause,4,9
30,ianmackenzie,ianmackenzie/elm-iso-10303,4.0.0,0.19.0,MPL-2.0,5,6
31,hanifhefaz,hanifhefaz/elm-word2dict-matcher,3.0.1,0.19.0,MIT,2,5
32,ianmackenzie,ianmackenzie/elm-geometry,3.8.0,0.19.0,MPL-2.0,8,10
33,supermacro,supermacro/elm-antd,6.1.0,0.19.0,MIT,9,13
34,supermacro,supermacro/elm-antd,6.0.0,0.19.0,MIT,9,13
35,finos,finos/morphir-elm,3.0.1,0.19.0,Apache-2.0,10,22
36,miniBill,miniBill/elm-bare,1.0.1,0.19.0,MIT,2,3
37,miniBill,miniBill/elm-bare,1.0.0,0.19.0,MIT,3,4
38,danfishgold,danfishgold/base64-bytes,1.1.0,0.19.0,BSD-3-Clause,2,3
39,ianmackenzie,ianmackenzie/elm-iso-10303,3.0.0,0.19.0,MPL-2.0,5,6
40,w0rm,w0rm/elm-physics,5.1.1,0.19.0,BSD-3-Clause,4,11
41,mweiss,mweiss/elm-rte-toolkit,1.0.3,0.19.1,BSD-3-Clause,16,17
42,choonkeat,choonkeat/elm-aws,1.0.1,0.19.1,MIT,9,14
43,hanifhefaz,hanifhefaz/elm-word2dict-matcher,3.0.0,0.19.0,MIT,2,5
44,hanifhefaz,hanifhefaz/elm-word2dict-matcher,2.0.0,0.19.0,MIT,2,5
45,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.1.1,0.19.0,MIT,2,5
46,bitsoflogic,bitsoflogic/elm-radixint,2.0.0,0.19.1,BSD-3-Clause,1,2
47,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.1.0,0.19.0,MIT,2,5
48,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.0.0,0.19.0,MIT,2,5
49,choonkeat,choonkeat/elm-aws,1.0.0,0.19.1,MIT,9,14
50,billstclair,billstclair/elm-sortable-table,1.2.1,0.19.0,BSD-3-Clause,3,5
51,eeue56,eeue56/elm-graphql-debug-errors,1.0.0,0.19.1,BSD-3-Clause,4,12
52,chazsconi,chazsconi/elm-phoenix-ports,1.1.2,0.19.1,MIT,3,4
53,finos,finos/morphir-elm,3.0.0,0.19.0,Apache-2.0,10,22
54,EngageSoftware,EngageSoftware/elm-engage-common,8.2.2,0.19.0,Apache-2.0,41,49
55,finos,finos/morphir-elm,2.1.0,0.19.0,Apache-2.0,9,21
56,folkertdev,folkertdev/one-true-path-experiment,5.0.2,0.19.0,BSD-3-Clause,8,19
57,ChristophP,ChristophP/elm-mark,2.0.3,0.19.0,BSD-3-Clause,2,5
58,dillonkearns,dillonkearns/elm-markdown,5.1.1,0.19.0,BSD-3-Clause,6,9
59,MartinSStewart,MartinSStewart/send-grid,2.0.0,0.19.0,MIT,6,14
60,folkertdev,folkertdev/one-true-path-experiment,5.0.1,0.19.0,BSD-3-Clause,8,19
61,MartinSStewart,MartinSStewart/elm-nonempty-string,2.0.0,0.19.0,BSD-3-Clause,2,5
62,thematthopkins,thematthopkins/elm-test-journey,3.1.0,0.19.0,MIT,6,10
63,NoRedInk,NoRedInk/noredink-ui,12.9.0,0.19.0,BSD-3-Clause,17,23
64,leojpod,leojpod/elm-keyboard-shortcut,1.0.0,0.19.0,MIT,6,12
65,brian-watkins,brian-watkins/elm-procedure,1.1.0,0.19.1,BSD-3-Clause,1,2
66,z5h,z5h/component-result,1.2.0,0.19.0,MIT,1,2
67,gribouille,gribouille/elm-spinner,1.0.0,0.19.0,MPL-2.0,2,5
68,supermacro,supermacro/elm-antd,5.0.0,0.19.0,MIT,7,12
69,dillonkearns,dillonkearns/elm-pages,7.0.0,0.19.0,BSD-3-Clause,19,26
70,brian-watkins,brian-watkins/elm-spec,3.1.0,0.19.1,MIT,8,10
71,Chadtech,Chadtech/elm-money,4.1.0,0.19.1,BSD-3-Clause,1,2
72,shamansir,shamansir/tron-gui,1.0.1,0.19.0,BSD-3-Clause,9,13
73,shamansir,shamansir/tron-gui,1.0.0,0.19.0,BSD-3-Clause,9,13
74,obiloud,obiloud/task-extra-concurrent,1.0.0,0.19.0,MIT,1,2
75,bitsoflogic,bitsoflogic/elm-radixint,1.0.0,0.19.1,BSD-3-Clause,1,2
76,jfmengels,jfmengels/elm-review,2.3.5,0.19.0,BSD-3-Clause,4,17
77,FMFI-UK-1-AIN-412,FMFI-UK-1-AIN-412/elm-formula,3.1.1,0.19.0,MIT,2,3
78,NoRedInk,NoRedInk/noredink-ui,12.8.0,0.19.0,BSD-3-Clause,17,23
79,jfmengels,jfmengels/elm-review,2.3.4,0.19.0,BSD-3-Clause,4,17
80,carwow,carwow/elm-review-rules,1.0.2,0.19.0,MIT,3,19
81,carwow,carwow/elm-review-rules,1.0.1,0.19.0,MIT,3,19
82,carwow,carwow/elm-review-rules,1.0.0,0.19.0,MIT,3,19
83,evelios,evelios/elm-geometry-quadtree,1.0.0,0.19.1,BSD-3-Clause,5,17
84,justinmimbs,justinmimbs/timezone-data,3.0.3,0.19.0,BSD-3-Clause,2,3
85,FMFI-UK-1-AIN-412,FMFI-UK-1-AIN-412/elm-formula,3.1.0,0.19.0,MIT,2,3
86,jschomay,jschomay/elm-bounded-number,2.1.2,0.19.0,BSD-3-Clause,1,2
87,FMFI-UK-1-AIN-412,FMFI-UK-1-AIN-412/elm-formula,3.0.0,0.19.0,MIT,2,3
88,Warry,Warry/elm-css-sortable-table,1.0.0,0.19.0,BSD-3-Clause,3,6
89,tricycle,tricycle/elm-imgix,1.6.0,0.19.0,BSD-3-Clause,6,10
90,tricycle,tricycle/elm-actor-framework-sandbox,3.0.0,0.19.0,BSD-3-Clause,5,11
91,davidcavazos,davidcavazos/parser,6.1.0,0.19.0,MIT,1,2
92,davidcavazos,davidcavazos/parser,6.0.0,0.19.0,MIT,1,2
93,ianmackenzie,ianmackenzie/elm-geometry,3.7.0,0.19.0,MPL-2.0,8,10
94,Evelios,Evelios/elm-dat-gui,1.0.0,0.19.1,Apache-2.0,4,10
95,finos,finos/morphir-elm,2.0.0,0.19.0,Apache-2.0,9,21
96,tricycle,tricycle/elm-imgix,1.5.0,0.19.0,BSD-3-Clause,5,9
97,dillonkearns,dillonkearns/elm-graphql,5.0.3,0.19.0,BSD-3-Clause,7,11
98,w0rm,w0rm/elm-physics,5.1.0,0.19.0,BSD-3-Clause,4,11
99,ianmackenzie,ianmackenzie/elm-triangular-mesh,1.1.0,0.19.0,MPL-2.0,1,2
100,choonkeat,choonkeat/elm-fullstack,3.0.0,0.19.0,MIT,7,11
101,tasuki,tasuki/elm-punycode,1.1.0,0.19.0,MIT,2,4
102,tasuki,tasuki/elm-punycode,1.0.0,0.19.0,MIT,2,4
103,choonkeat,choonkeat/elm-fullstack,2.0.0,0.19.0,MIT,7,11
104,choonkeat,choonkeat/elm-fullstack,1.0.0,0.19.0,MIT,7,11
105,billstclair,billstclair/elm-mastodon-websocket,2.0.1,0.19.0,MIT,7,22
106,billstclair,billstclair/elm-mastodon,10.0.0,0.19.0,MIT,8,14
107,supermacro,supermacro/elm-antd,4.3.0,0.19.0,MIT,7,12
108,Confidenceman02,Confidenceman02/elm-animate-height,2.0.3,0.19.0,BSD-3-Clause,9,11
109,tptshepo,tptshepo/elm-flex-layout,1.1.0,0.19.0,MIT,8,9
110,davidcavazos,davidcavazos/parser,5.0.0,0.19.0,MIT,1,2
111,justinmimbs,justinmimbs/timezone-data,3.0.2,0.19.0,BSD-3-Clause,2,3
112,fabhof,fabhof/elm-ui-datepicker,3.0.0,0.19.0,BSD-3-Clause,6,9
113,sparksp,sparksp/elm-review-imports,1.0.0,0.19.0,MIT,3,18
114,robinheghan,robinheghan/elm-warrior,1.0.1,0.19.0,BSD-3-Clause,7,12
115,tptshepo,tptshepo/elm-flex-layout,1.0.2,0.19.0,MIT,7,8
116,tptshepo,tptshepo/elm-flex-layout,1.0.1,0.19.0,MIT,7,8
117,supermacro,supermacro/elm-antd,4.2.3,0.19.0,MIT,7,12
118,tptshepo,tptshepo/elm-flex-layout,1.0.0,0.19.0,MIT,8,9
119,QiTASC,QiTASC/hatchinq,28.1.3,0.19.0,Apache-2.0,11,15
120,QiTASC,QiTASC/hatchinq,28.1.2,0.19.0,Apache-2.0,11,15
121,supermacro,supermacro/elm-antd,4.2.2,0.19.0,MIT,7,12
122,supermacro,supermacro/elm-antd,4.2.1,0.19.0,MIT,7,12
123,PanagiotisGeorgiadis,PanagiotisGeorgiadis/elm-datepicker,2.2.2,0.19.0,BSD-3-Clause,6,8
124,supermacro,supermacro/elm-antd,4.2.0,0.19.0,MIT,7,12
125,EngageSoftware,EngageSoftware/elm-engage-common,8.2.1,0.19.0,Apache-2.0,41,49
126,ggb,ggb/elm-bloom,1.1.1,0.19.0,MIT,3,4
127,astynax,astynax/tea-combine,3.1.0,0.19.0,MIT,5,11
128,tasuki,tasuki/elm-bloom,1.0.0,0.19.0,MIT,3,4
129,Gizra,Gizra/elm-editable-webdata,2.0.2,0.19.0,BSD-3-Clause,12,13
130,NoRedInk,NoRedInk/noredink-ui,12.7.0,0.19.0,BSD-3-Clause,17,23
131,NoRedInk,NoRedInk/noredink-ui,12.6.1,0.19.0,BSD-3-Clause,17,23
132,dillonkearns,dillonkearns/elm-markdown,5.1.0,0.19.0,BSD-3-Clause,6,9
133,aforemny,aforemny/material-components-web-elm,6.0.0,0.19.0,MIT,4,6
134,ianmackenzie,ianmackenzie/elm-iso-10303,2.0.0,0.19.0,MPL-2.0,4,5
135,justinmimbs,justinmimbs/timezone-data,3.0.1,0.19.0,BSD-3-Clause,2,3
136,danhandrea,danhandrea/elm-time-extra,1.1.0,0.19.0,BSD-3-Clause,2,3
137,NoRedInk,NoRedInk/noredink-ui,12.6.0,0.19.0,BSD-3-Clause,17,23
138,danhandrea,danhandrea/elm-time-extra,1.0.0,0.19.0,BSD-3-Clause,2,3
139,tricycle,tricycle/elm-actor-framework-sandbox,2.0.0,0.19.0,BSD-3-Clause,5,11
140,tricycle,tricycle/elm-actor-framework,1.4.0,0.19.0,BSD-3-Clause,4,8
141,the-sett,the-sett/elm-pretty-printer,3.0.0,0.19.0,BSD-3-Clause,2,3
142,henne90gen,henne90gen/elm-pandas-visualization,7.0.2,0.19.0,BSD-3-Clause,12,25
143,the-sett,the-sett/parser-recoverable,1.0.0,0.19.0,BSD-3-Clause,2,3
144,PaackEng,PaackEng/paack-remotedata,1.1.0,0.19.0,BSD-3-Clause,2,12
145,bluedogtraining,bluedogtraining/bdt-elm,27.0.14,0.19.0,BSD-3-Clause,20,30
146,EngageSoftware,EngageSoftware/elm-engage-common,8.2.0,0.19.0,Apache-2.0,41,49
147,stephenreddek,stephenreddek/elm-range-slider,3.0.2,0.19.0,BSD-3-Clause,5,10
148,QiTASC,QiTASC/hatchinq,28.1.1,0.19.0,Apache-2.0,11,15
149,sparksp,sparksp/elm-review-ports,1.3.0,0.19.0,MIT,3,18
150,phollyer,phollyer/elm-phoenix-websocket,2.0.0,0.19.0,BSD-3-Clause,3,8
151,NoRedInk,NoRedInk/noredink-ui,12.5.0,0.19.0,BSD-3-Clause,17,23
152,brandly,brandly/elm-dot-lang,1.1.5,0.19.0,BSD-3-Clause,3,8
153,andre-dietrich,andre-dietrich/elm-svgbob,2.0.2,0.19.0,Apache-2.0,4,7
154,andre-dietrich,andre-dietrich/elm-svgbob,2.0.1,0.19.0,Apache-2.0,4,7
155,opvasger,opvasger/msg-replay,1.0.0,0.19.0,BSD-3-Clause,5,8
156,duncanmalashock,duncanmalashock/elm-music-theory,1.0.0,0.19.1,BSD-3-Clause,7,14
157,gicentre,gicentre/elm-vega,5.7.0,0.19.0,BSD-3-Clause,3,5
158,miyamoen,miyamoen/elm-origami,1.0.1,0.19.1,BSD-3-Clause,5,6
159,BrianHicks,BrianHicks/elm-css-reset,1.0.2,0.19.0,BSD-3-Clause,2,6
160,dillonkearns,dillonkearns/elm-rss,2.0.0,0.19.0,BSD-3-Clause,5,14
161,coinop-logan,coinop-logan/phace,2.1.0,0.19.0,MIT,9,27
162,tricycle,tricycle/elm-infinite-gallery,4.1.0,0.19.0,BSD-3-Clause,3,5
163,elm-explorations,elm-explorations/benchmark,1.0.2,0.19.0,BSD-3-Clause,5,12
164,kalutheo,kalutheo/elm-ui-explorer,8.1.0,0.19.0,BSD-3-Clause,7,18
165,driebit,driebit/elm-css-breakpoint,1.0.2,0.19.0,BSD-3-Clause,2,6
166,jfmengels,jfmengels/elm-review-the-elm-architecture,1.0.2,0.19.0,BSD-3-Clause,3,18
167,ContaSystemer,ContaSystemer/elm-review-no-regex,1.0.0,0.19.0,BSD-3-Clause,5,19
168,tricycle,tricycle/elm-infinite-gallery,4.0.0,0.19.0,BSD-3-Clause,3,5
169,mdgriffith,mdgriffith/style-elements,5.0.2,0.19.0,BSD-3-Clause,6,7
170,danhandrea,danhandrea/elm-router,2.0.0,0.19.0,BSD-3-Clause,4,8
171,danhandrea,danhandrea/elm-router,1.1.0,0.19.0,BSD-3-Clause,4,8
172,jfmengels,jfmengels/elm-review-unused,1.1.3,0.19.0,BSD-3-Clause,4,18
173,jfmengels,jfmengels/elm-review,2.3.3,0.19.0,BSD-3-Clause,4,17
174,TheSacredLipton,TheSacredLipton/elm-ui-hexcolor,1.0.1,0.19.0,BSD-3-Clause,5,9
175,davidcavazos,davidcavazos/parser,4.0.0,0.19.0,MIT,1,2
176,Orasund,Orasund/elm-ui-widgets,2.1.1,0.19.0,BSD-3-Clause,12,18
177,TheSacredLipton,TheSacredLipton/elm-ui-hexcolor,1.0.0,0.19.0,BSD-3-Clause,5,9
178,altayaydemir,altayaydemir/style-elements,1.0.0,0.19.0,BSD-3-Clause,6,7
179,cuducos,cuducos/elm-format-number,8.1.4,0.19.0,BSD-3-Clause,3,4
180,bonzaico,bonzaico/murmur3,1.0.0,0.19.0,MIT,1,2
181,jasonliang-dev,jasonliang-dev/elm-heroicons,1.0.1,0.19.0,MIT,3,6
182,jasonliang-dev,jasonliang-dev/elm-heroicons,1.0.0,0.19.0,MIT,3,6
183,ianmackenzie,ianmackenzie/elm-units-prefixed,2.7.0,0.19.0,BSD-3-Clause,3,4
184,ianmackenzie,ianmackenzie/elm-units-prefixed,2.6.0,0.19.0,BSD-3-Clause,3,4
185,ianmackenzie,ianmackenzie/elm-units-prefixed,2.5.0,0.19.0,BSD-3-Clause,3,4
186,ianmackenzie,ianmackenzie/elm-units-prefixed,2.4.0,0.19.0,BSD-3-Clause,3,4
187,ianmackenzie,ianmackenzie/elm-units-prefixed,2.3.0,0.19.0,BSD-3-Clause,3,4
188,ianmackenzie,ianmackenzie/elm-units-prefixed,2.2.0,0.19.0,BSD-3-Clause,3,4
189,ianmackenzie,ianmackenzie/elm-units-prefixed,2.1.0,0.19.0,BSD-3-Clause,3,4
190,jschomay,jschomay/elm-paginate,3.1.2,0.19.0,BSD-3-Clause,2,3
191,NoRedInk,NoRedInk/noredink-ui,12.4.0,0.19.0,BSD-3-Clause,17,23
192,robinheghan,robinheghan/elm-deque,1.0.0,0.19.0,BSD-3-Clause,1,2
193,robinheghan,robinheghan/elm-phone-numbers,1.0.0,0.19.0,BSD-3-Clause,2,3
194,robinheghan,robinheghan/elm-warrior,1.0.0,0.19.0,BSD-3-Clause,7,12
195,robinheghan,robinheghan/keyboard-events,1.0.0,0.19.0,BSD-3-Clause,4,9
196,robinheghan,robinheghan/murmur3,1.0.0,0.19.0,MIT,1,2
197,NoRedInk,NoRedInk/elm-rollbar,2.0.1,0.19.0,BSD-3-Clause,6,10
198,supermacro,supermacro/elm-antd,4.1.0,0.19.0,MIT,4,8
199,NoRedInk,NoRedInk/style-elements,3.0.0,0.19.0,BSD-3-Clause,5,6
200,matken11235,matken11235/html-styled-extra,1.0.0,0.19.0,MIT,3,6
201,rtfeldman,rtfeldman/elm-css,16.1.0,0.19.0,BSD-3-Clause,4,5
202,proda-ai,proda-ai/elm-css,1.0.1,0.19.0,BSD-3-Clause,5,6
203,proda-ai,proda-ai/murmur3,1.0.0,0.19.0,MIT,1,2
204,proda-ai,proda-ai/elm-css,1.0.0,0.19.0,BSD-3-Clause,5,6
205,dillonkearns,dillonkearns/elm-graphql,5.0.2,0.19.0,BSD-3-Clause,7,11
206,dasch,dasch/levenshtein,1.0.3,0.19.0,Apache-2.0,1,2
207,emilianobovetti,emilianobovetti/edit-distance,1.0.7,0.19.0,BSD-3-Clause,1,2
208,emilianobovetti,emilianobovetti/edit-distance,1.0.6,0.19.0,BSD-3-Clause,1,2
209,andre-dietrich,andre-dietrich/elm-conditional,1.0.0,0.19.0,BSD-3-Clause,1,2
210,gampleman,gampleman/elm-visualization,2.1.2,0.19.0,MIT,13,27
211,QiTASC,QiTASC/hatchinq,28.1.0,0.19.0,Apache-2.0,11,15
212,yotamDvir,yotamDvir/elm-katex,2.0.2,0.19.0,BSD-3-Clause,3,6
213,ianmackenzie,ianmackenzie/elm-units-prefixed,2.0.0,0.19.0,BSD-3-Clause,3,4
214,ianmackenzie,ianmackenzie/elm-units-prefixed,1.0.0,0.19.0,BSD-3-Clause,3,4
215,shamansir,shamansir/elm-aframe,1.0.0,0.19.0,MIT,5,12
216,ianmackenzie,ianmackenzie/elm-units,2.7.0,0.19.0,BSD-3-Clause,2,3
217,RalfNorthman,RalfNorthman/elm-lttb,1.0.2,0.19.1,BSD-3-Clause,4,9
218,davidcavazos,davidcavazos/parser,3.0.0,0.19.0,MIT,1,2
219,RalfNorthman,RalfNorthman/elm-lttb,1.0.1,0.19.1,BSD-3-Clause,4,9
220,RalfNorthman,RalfNorthman/elm-lttb,1.0.0,0.19.1,BSD-3-Clause,4,9
221,jxxcarlson,jxxcarlson/elm-markdown,10.0.1,0.19.0,BSD-3-Clause,15,31
222,toastal,toastal/mailto,5.0.0,0.19.0,MIT,4,7
223,aforemny,aforemny/material-components-web-elm,5.1.0,0.19.0,MIT,4,6
224,emilianobovetti,emilianobovetti/edit-distance,1.0.5,0.19.0,BSD-3-Clause,1,2
225,shootacean,shootacean/elm-wareki,1.1.1,0.19.0,MIT,3,5
226,shootacean,shootacean/elm-wareki,1.1.0,0.19.0,MIT,8,10
227,henne90gen,henne90gen/elm-pandas-visualization,7.0.1,0.19.0,BSD-3-Clause,12,25
228,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.5,0.19.0,MIT,9,26
229,RalfNorthman,RalfNorthman/elm-zoom-plot,3.0.1,0.19.0,BSD-3-Clause,14,23
230,NoRedInk,NoRedInk/noredink-ui,12.3.1,0.19.0,BSD-3-Clause,17,23
231,davidcavazos,davidcavazos/parser,2.1.0,0.19.0,MIT,1,2
232,davidcavazos,davidcavazos/parser,2.0.0,0.19.0,MIT,1,2
233,henne90gen,henne90gen/elm-pandas-visualization,7.0.0,0.19.0,BSD-3-Clause,12,25
234,henne90gen,henne90gen/elm-pandas-visualization,6.0.0,0.19.0,BSD-3-Clause,12,25
235,davidcavazos,davidcavazos/parser,1.2.0,0.19.0,MIT,1,2
236,lattyware,lattyware/elm-fontawesome,5.0.0,0.19.0,MIT,3,6
237,calions-app,calions-app/elm-placeholder-loading,1.0.2,0.19.0,MIT,3,6
238,calions-app,calions-app/elm-placeholder-loading,1.0.1,0.19.0,MIT,3,6
239,calions-app,calions-app/elm-placeholder-loading,1.0.0,0.19.0,MIT,3,6
240,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.4,0.19.0,MIT,9,26
241,NoRedInk,NoRedInk/noredink-ui,12.3.0,0.19.0,BSD-3-Clause,17,23
242,brian-watkins,brian-watkins/elm-spec,3.0.2,0.19.1,MIT,8,10
243,jxxcarlson,jxxcarlson/elm-markdown,10.0.0,0.19.0,BSD-3-Clause,15,31
244,davidcavazos,davidcavazos/parser,1.1.0,0.19.0,MIT,1,2
245,NoRedInk,NoRedInk/noredink-ui,12.2.1,0.19.0,BSD-3-Clause,17,23
246,henne90gen,henne90gen/elm-pandas-visualization,5.1.0,0.19.0,BSD-3-Clause,12,25
247,GoldentTuft,GoldentTuft/elm-japanese-typing,1.0.0,0.19.0,MIT,1,2
248,NoRedInk,NoRedInk/noredink-ui,12.2.0,0.19.0,BSD-3-Clause,17,23
249,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.3,0.19.0,MIT,9,26
250,jfmengels,jfmengels/elm-review,2.3.2,0.19.0,BSD-3-Clause,4,17
251,dillonkearns,dillonkearns/elm-markdown,5.0.0,0.19.0,BSD-3-Clause,6,9
252,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.2,0.19.0,MIT,9,26
253,cuducos,cuducos/elm-format-number,8.1.3,0.19.0,BSD-3-Clause,3,4
254,jfmengels,jfmengels/elm-review-unused,1.1.2,0.19.0,BSD-3-Clause,4,18
255,the-sett,the-sett/salix-aws-spec,1.0.1,0.19.0,BSD-3-Clause,10,42
256,the-sett,the-sett/salix,4.0.0,0.19.0,BSD-3-Clause,15,32
257,jfmengels,jfmengels/elm-review-unused,1.1.1,0.19.0,BSD-3-Clause,4,18
258,jfmengels,jfmengels/elm-review-the-elm-architecture,1.0.1,0.19.0,BSD-3-Clause,4,18
259,jfmengels,jfmengels/elm-review-documentation,1.0.1,0.19.0,BSD-3-Clause,5,19
260,jfmengels,jfmengels/elm-review-common,1.0.1,0.19.0,BSD-3-Clause,4,18
261,jfmengels,jfmengels/elm-review-debug,1.0.1,0.19.0,BSD-3-Clause,3,18
262,jfmengels,jfmengels/elm-review-unused,1.1.0,0.19.0,BSD-3-Clause,4,18
263,jfmengels,jfmengels/elm-review,2.3.1,0.19.0,BSD-3-Clause,4,17
264,jfmengels,jfmengels/elm-review,2.3.0,0.19.0,BSD-3-Clause,4,17
265,mrpinsky,mrpinsky/elm-keyed-list,1.1.2,0.19.0,BSD-3-Clause,2,3
266,mrpinsky,mrpinsky/elm-keyed-list,1.1.1,0.19.0,BSD-3-Clause,3,8
267,jxxcarlson,jxxcarlson/elm-markdown,9.6.0,0.19.0,BSD-3-Clause,15,31
268,turboMaCk,turboMaCk/queue,1.1.0,0.19.0,BSD-3-Clause,1,2
269,dasch,dasch/levenshtein,1.0.2,0.19.0,Apache-2.0,1,2
270,jxxcarlson,jxxcarlson/elm-markdown,9.5.0,0.19.0,BSD-3-Clause,15,31
271,gicentre,gicentre/elm-vega,5.6.1,0.19.0,BSD-3-Clause,3,5
272,gicentre,gicentre/elm-vegalite,3.1.1,0.19.0,BSD-3-Clause,3,5
273,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.1,0.19.0,MIT,9,26
274,lucamug,lucamug/elm-box-drawing,1.0.1,0.19.0,BSD-3-Clause,4,8
275,henne90gen,henne90gen/elm-pandas-visualization,5.0.1,0.19.0,BSD-3-Clause,10,25
276,data-viz-lab,data-viz-lab/elm-chart-builder,3.1.0,0.19.0,MIT,9,26
277,lucamug,lucamug/elm-box-drawing,1.0.0,0.19.0,BSD-3-Clause,4,8
278,wsowens,wsowens/term,2.0.4,0.19.0,Apache-2.0,8,9
279,ronanyeah,ronanyeah/calendar-dates,2.0.0,0.19.0,BSD-3-Clause,6,8
280,gicentre,gicentre/elm-vega,5.6.0,0.19.0,BSD-3-Clause,3,5
281,SiriusStarr,SiriusStarr/elm-spaced-repetition,2.0.0,0.19.0,GPL-3.0,8,11
282,gicentre,gicentre/elm-vegalite,3.1.0,0.19.0,BSD-3-Clause,3,5
283,PaackEng,PaackEng/paack-remotedata,1.0.0,0.19.0,BSD-3-Clause,2,12
284,supermacro,supermacro/elm-antd,4.0.0,0.19.0,MIT,4,8
285,leojpod,leojpod/review-no-empty-html-text,1.0.2,0.19.0,MIT,3,18
286,tricycle,tricycle/elm-actor-framework-template-html,1.1.3,0.19.0,BSD-3-Clause,8,15
287,tricycle,tricycle/elm-actor-framework-template-html,1.1.2,0.19.0,BSD-3-Clause,8,15
288,tricycle,tricycle/elm-actor-framework-template-html,1.1.1,0.19.0,BSD-3-Clause,8,15
289,wsowens,wsowens/term,2.0.3,0.19.0,Apache-2.0,8,9
290,wsowens,wsowens/term,2.0.2,0.19.0,Apache-2.0,8,9
291,davidcavazos,davidcavazos/parser,1.0.0,0.19.0,MIT,1,2
292,leojpod,leojpod/elm-apex-charts-link,1.0.1,0.19.0,MIT,4,10
293,leojpod,leojpod/elm-apex-charts-link,1.0.0,0.19.0,MIT,4,10
294,QiTASC,QiTASC/hatchinq,28.0.1,0.19.0,Apache-2.0,11,15
295,tricycle,tricycle/elm-actor-framework-template-html,1.1.0,0.19.0,BSD-3-Clause,8,15
296,wsowens,wsowens/term,2.0.1,0.19.0,Apache-2.0,8,9
297,terezka,terezka/charts,5.0.0,0.19.0,BSD-3-Clause,7,9
298,kuon,kuon/elm-string-normalize,1.0.2,0.19.0,BSD-3-Clause,1,2
299,NoRedInk,NoRedInk/noredink-ui,12.1.0,0.19.0,BSD-3-Clause,17,23
300,shootacean,shootacean/elm-wareki,1.0.0,0.19.0,MIT,8,10
301,ContaSystemer,ContaSystemer/elm-effects-msg-from-js,1.0.0,0.19.0,BSD-3-Clause,5,11
302,ContaSystemer,ContaSystemer/elm-error-message,1.0.0,0.19.0,BSD-3-Clause,2,9
