id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
3487,melon-love,melon-love/elm-gab-api,6.0.0,0.19.0,MIT,10,17
3488,wolfadex,wolfadex/tiler,1.0.1,0.19.0,BSD-3-Clause,2,4
3489,melon-love,melon-love/elm-gab-api,5.0.1,0.19.0,MIT,10,17
3490,wolfadex,wolfadex/tiler,1.0.0,0.19.0,BSD-3-Clause,2,4
3491,melon-love,melon-love/elm-gab-api,5.0.0,0.19.0,MIT,10,17
3492,melon-love,melon-love/elm-gab-api,4.0.0,0.19.0,MIT,10,17
3493,NoRedInk,NoRedInk/noredink-ui,6.1.4,0.19.0,BSD-3-Clause,11,15
3494,inkuzmin,inkuzmin/elm-multiselect,3.0.1,0.19.0,BSD-3-Clause,7,12
3495,melon-love,melon-love/elm-gab-api,3.0.2,0.19.0,MIT,10,17
3496,melon-love,melon-love/elm-gab-api,3.0.1,0.19.0,MIT,10,17
3497,melon-love,melon-love/elm-gab-api,3.0.0,0.19.0,MIT,10,17
3498,surprisetalk,surprisetalk/elm-bulma,6.1.4,0.19.0,MIT,2,5
3499,dillonkearns,dillonkearns/elm-cli-options-parser,3.0.0,0.19.0,BSD-3-Clause,3,4
3500,jxxcarlson,jxxcarlson/elm-tar,2.1.2,0.19.0,BSD-3-Clause,5,6
3501,dillonkearns,dillonkearns/elm-cli-options-parser,2.0.0,0.19.0,BSD-3-Clause,3,4
3502,romstad,romstad/elm-chess,1.1.2,0.19.0,BSD-3-Clause,2,3
3503,alex-tan,alex-tan/postgrest-queries,7.0.2,0.19.0,MIT,2,3
3504,vViktorPL,vViktorPL/elm-jira-connector,1.2.0,0.19.0,MIT,9,11
3505,elm-athlete,elm-athlete/athlete,3.1.0,0.19.0,BSD-3-Clause,15,17
3506,NoRedInk,NoRedInk/elm-saved,1.0.1,0.19.0,BSD-3-Clause,1,2
3507,NoRedInk,NoRedInk/elm-rfc5988-parser,2.0.1,0.19.0,BSD-3-Clause,2,3
3508,dillonkearns,dillonkearns/elm-graphql,1.5.0,0.19.0,BSD-3-Clause,8,12
3509,inkuzmin,inkuzmin/elm-multiselect,3.0.0,0.19.0,BSD-3-Clause,8,13
3510,norpan,norpan/elm-html5-drag-drop,3.1.3,0.19.0,BSD-3-Clause,4,8
3511,elm-athlete,elm-athlete/athlete,3.0.0,0.19.0,BSD-3-Clause,15,17
3512,krisajenkins,krisajenkins/remotedata,6.0.1,0.19.0,MIT,3,7
3513,NoRedInk,NoRedInk/noredink-ui,6.1.3,0.19.0,BSD-3-Clause,11,15
3514,NoRedInk,NoRedInk/datetimepicker-legacy,1.0.1,0.19.0,Apache-2.0,7,10
